cluster,predicted_cell_type,short_name,gene_set,marker_genes_n,overlap_n,overlap_genes
4,Unknown,"ASPN, FNDC1, TNC",unwounded_skin_higher_mutation_burden,8,0,
5,Keratinocyte,"LGALS7B, S100A14, DMKN",top_mutated_genes,8,0,
5,Keratinocyte,"LGALS7B, S100A14, DMKN",wound_edge_higher_mutation_burden,8,0,
5,Keratinocyte,"LGALS7B, S100A14, DMKN",unwounded_skin_higher_mutation_burden,8,0,
6,Endothelial,"PECAM1, PLVAP, CLDN5",top_mutated_genes,8,0,
6,Endothelial,"PECAM1, PLVAP, CLDN5",wound_edge_higher_mutation_burden,8,0,
6,Endothelial,"PECAM1, PLVAP, CLDN5",unwounded_skin_higher_mutation_burden,8,0,
7,Endothelial,"SLCO2A1, SOX18, INSR",top_mutated_genes,8,0,
7,Endothelial,"SLCO2A1, SOX18, INSR",wound_edge_higher_mutation_burden,8,0,
7,Endothelial,"SLCO2A1, SOX18, INSR",unwounded_skin_higher_mutation_burden,8,0,
8,T cell,"CD3D, LTB, CD52",top_mutated_genes,8,0,
8,T cell,"CD3D, LTB, CD52",wound_edge_higher_mutation_burden,8,1,IL7R
8,T cell,"CD3D, LTB, CD52",unwounded_skin_higher_mutation_burden,8,0,
9,Pericyte/SMC,"MYH11, ADRA2A, ACTA2",top_mutated_genes,8,0,
9,Pericyte/SMC,"MYH11, ADRA2A, ACTA2",wound_edge_higher_mutation_burden,8,0,
9,Pericyte/SMC,"MYH11, ADRA2A, ACTA2",unwounded_skin_higher_mutation_burden,8,0,
